City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.79,scattered clouds,-23.1203,-134.9692,Chez Bianca & Benoit
3,Busselton,AU,79.43,few clouds,-33.65,115.3333,No hotel found
8,Atuona,PF,78.82,overcast clouds,-9.8,-139.0333,Pearl Resort
9,Kahului,US,75.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
12,Macapa,BR,75.18,scattered clouds,0.0389,-51.0664,Hotel Norte
14,Sulangan,PH,79.56,overcast clouds,11.1373,123.7228,Marion's Inn
20,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
21,Tautira,PF,78.21,light rain,-17.7333,-149.15,No hotel found
23,Vaini,TO,83.86,few clouds,-21.2,-175.2,Keleti International Resort
27,Mataura,NZ,78.15,clear sky,-46.1927,168.8643,No hotel found
32,Mildura,AU,87.08,scattered clouds,-34.2,142.15,Chaffey Motor Inn
42,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Page 63 hostel
